k,correlation
5,0.8908708669891715
10,0.90400020509866
15,0.9053708086472148
20,0.9029216510993
25,0.8984331194060824
30,0.8934941857291392
35,0.8884922768409195
40,0.8834018642004181
45,0.8785601524637334
50,0.8739985591639057
55,0.8697594967293562
60,0.865858703069667
65,0.8622091682167137
70,0.8589301223594185
75,0.8559133742891032
80,0.8531998360837006
85,0.8507170755412068
90,0.848400837613309
95,0.846278672626483
100,0.8443547721119062
105,0.8426102403415944
110,0.841015585147356
115,0.8395461120140851
120,0.8382109248711107
125,0.8369924699244621
130,0.8358454198097406
135,0.8347923994286288
140,0.8338229784756263
145,0.832921689807591
150,0.832093072117272
155,0.8313135259780224
