k,correlation
5,0.8871037142741847
10,0.9033093261815488
15,0.9087839899653648
20,0.9109266700097549
25,0.9115539625568315
30,0.9115656625181627
35,0.9112982511357223
40,0.9109194154396353
45,0.9105047321580814
50,0.9101014119708171
55,0.9097225044575254
60,0.9093797093066249
65,0.9090742375652048
70,0.9087997008663793
75,0.9085532947843115
80,0.9083369881084677
85,0.9081447291245675
90,0.9079748163217068
95,0.9078250568507091
100,0.9076924438915921
105,0.9075755299852338
110,0.9074710232457801
115,0.9073782110484446
120,0.9072944442693022
125,0.9072191002849845
130,0.9071513444310706
135,0.9070905689574075
140,0.9070363223712566
145,0.9069878528551089
150,0.9069446479480092
155,0.9069057707758831
