,ID,LogitT_5
0,268146007,29.74908354453577
1,268146003,46.348028521796245
2,268146005,91.66503031184085
3,268146004,37.175800869890885
4,268146006,49.75387358175967
5,268146001,40.492445894934015
6,268146002,51.426271221594384
7,268070022/01,40.499728322337816
8,268070008,34.25660544170107
9,268070015,39.940423614626425
10,268070021,46.51619058242961
11,268070003,39.22871298739582
12,268070001,36.17368078927468
13,268070018,33.284323271881064
14,268070002,32.95529375624657
15,268070005,31.956135804929573
16,268070020,50.456642842653295
17,268070016,30.048901143364457
18,268070019,51.412438908505415
19,268070012,50.265760615304416
20,268070013,30.393658797257217
21,268070007,32.4685282067753
22,268070009,42.14338185457336
23,268070017,33.497890901074754
24,268070004,39.132844185420275
25,268070014,34.69687009776061
26,268070010,43.314434765563334
27,268070011,47.079143780285335
28,268070006,33.04457575458099
29,268070022/02,38.90957033932477
30,268119010,32.39833679673495
31,268119006,43.35324088521347
32,268119008,39.65039412769522
33,268119009,37.862556449543206
34,268119011,58.460658889993766
35,268119015/268119016,51.40818596372454
36,268119001,60.22123403149127
37,268119007,40.26484886161767
38,268119004,57.73796692759928
39,268119005,51.27470399062819
40,268119012,46.34046208654288
41,268119018,64.55987365601034
42,268119003,51.71717311461084
43,268119017,60.23809309639265
44,268119002,58.15015801140398
45,268119013/268119014,58.74546649481058
46,268086005,60.0979612219049
47,268086002,68.45498259121435
48,268086001,69.06171833783581
49,268086003,61.49147393569569
50,268086004,63.184580251281645
51,268149001,87.72446005478815
52,268149004,107.73224631974476
53,268149006,108.83600468284584
54,268149005,103.58667139439214
55,268149002,116.19966681731333
56,268149008,110.16855622714183
57,268149007,115.38207291466735
58,268149003,109.76727262462934
59,268125006,51.81513715765952
60,268125008,50.552092362648445
61,268125001/01,35.63057033072938
62,268125003,41.01955478559535
63,268125005,50.56079047872851
64,268125004,49.93739635113864
65,268125002,48.273832985560865
66,268125007,51.05122229542127
67,268125001/02,27.389633206113125
68,268042013,32.803835124162184
69,268042007,33.765968061109646
70,268042016,25.211786742772887
71,268042012,28.01312156640029
72,268042011,23.64086850255245
73,268042005,46.87540381327106
74,268042018,44.04165218323821
75,268042014,33.37227758846524
76,268042015,30.25111823475896
77,268042004,47.41434860157348
78,268042009,41.168251222228996
79,268042008,43.44394708649777
80,268042022,35.34354049739541
81,268042021,25.736920412871264
82,268042026,35.953768785187904
83,268042025,28.487516278196942
84,268042020,30.362119842562983
85,268042019,47.1752130308145
86,268042023,37.62118963590284
87,268042024,34.50550746037993
88,268042010,32.86049793401309
89,268042003,48.103602715891995
90,268042001,56.62296687174116
91,268042002,56.62862378941437
92,268042006,39.34890451948039
93,268042028,23.853214102111792
94,268042027,25.491313501643045
95,268033005,44.70125983379683
96,268033006,60.60565307314027
97,268033004,58.34429158263367
98,268033001,48.81060197264239
99,268033003,49.57543354061027
100,268033002,53.03298526307017
101,268025005,33.74712930338539
102,268025008,50.27333908360799
103,268025004,49.90808906383228
104,268025006,47.561530931806615
105,268025007,33.68314896936683
106,268025001,34.48088535220264
107,268025002,32.945491549540776
108,268025003,47.24756249003809
109,268066002,43.53077925803265
110,268066011,31.965881138728257
111,268066010,31.741583464470565
112,268066007,21.674099976424433
113,268066005,26.805810315866424
114,268066003,36.25077690792489
115,268066001,35.604377769181866
116,268066008,27.589676037480082
117,268066006,28.68797741207479
118,268066004,34.92139934142051
119,268066009,25.79827576333816
120,268018005,38.32202184631139
121,268018012/268018015,57.46935084267976
122,268018016,53.54156431600416
123,268018003/268018004/268018009,35.79651938960753
124,268018010/268018011,51.44615068549491
125,268018001,37.36151808284009
126,268018014/268018017,45.300514706048304
127,268018006,33.49008955340268
128,268030013,98.24217913708036
129,268030010,45.73720529039572
130,268030014,48.90160760507014
131,268030005,45.708323994563116
132,268030004,49.38873473915422
133,268030027,51.945001339794366
134,268030002,73.07122734298079
135,268030015,66.68257860388475
136,268030003,81.20868961413323
137,268030026,84.57048566727495
138,268030018,110.58851554357508
139,268030019,109.10536633250189
140,268030012,82.28064048619689
141,268030020,96.45232870191442
142,268042017,1.0780951336325655
143,268030017,91.7679701589035
144,268030022,95.68077123482855
145,268030016,86.33938263327717
146,268030006,84.88454951898721
147,268030021,95.5049844482224
148,268030024/268030025,87.35690445907603
149,268030001,82.599528714432
150,268030007,111.89983148224765
151,268030023,97.5015264385023
152,268030008,104.05558868163834
153,268030011,70.80671300001994
154,268030009,92.98372486009578
155,268157002,34.78937818518328
156,268157005,42.937090568786054
157,268157004,31.410976655211133
158,268157003,52.17461014617554
159,268157006,44.94575349447845
160,268157008,64.1700206188057
161,268157012,44.07840069211171
162,268157009/268157009/02/268157009/01,64.21038284543796
163,268157010,63.18302394498646
164,268157011,59.018792601327945
165,268157001,29.84019337152382
166,268157007,45.17773084249023
167,268063011,34.89248398209331
168,268063010,45.337068299693996
169,268063008,34.445391644334734
170,268063007,32.34868793367691
171,268063009,35.59811955787077
172,268063001,49.7567477195954
173,268063003,47.39128913980732
174,268063002,50.18175694610163
175,268063012,40.786208027421814
176,268063006,39.74233868674413
177,268063005,40.68603311589036
178,268063004,44.18866173331389
179,268145004,54.84038759974871
180,268145014,51.57229535098474
181,268145015,60.36575431757123
182,268145007,88.2313161511462
183,268145006,85.51248696813978
184,268145005,101.92212544678917
185,268145008,100.06447342637294
186,268145009,117.23348191075293
187,268145011,70.70534548268188
188,268145013,61.415407089771016
189,268145012,62.695983179057215
190,268145001,51.23033777323396
191,268145002,53.45128142966963
192,268145003,62.500396804091395
193,268145010,73.27787064686973
194,268118001,9.060266776791485
